likes,body,time
7,"Стало известно истинное положение дел с коронавирусом на Украине

➡Подробнее: https://russian.rt.com/ussr/news/787018-ukraina-koronavirus-sutki",1601117760
6,"Министр спорта России отреагировал на резонансный конфликт между Плющенко и Тутберидзе

➡Подробнее: https://russian.rt.com/sport/news/787033-matycin-konflikt-plyuschenko-tutberidze",1601117340
11,"В «Векторе» предположили, при каких условиях возможна выработка пожизненного иммунитета к COVID-19

➡Подробнее: https://russian.rt.com/science/news/787035-vyrabotka-pozhiznennogo-immuniteta",1601116920
2,"На Украине приняли решение насчёт Ан-26

➡Подробнее: https://russian.rt.com/ussr/news/787028-ukraina-an-26-aviakatastrofa",1601116500
6,"Тревожные данные о крушении Ан-26 под Харьковом

➡Подробнее: https://russian.rt.com/ussr/news/787031-gschs-pogibshie-an-26",1601116020
9,"Глава Роспотребнадзора раскрыла детали клинических испытаний вакцины от COVID-19

➡Подробнее: https://russian.rt.com/russia/news/787034-popova-vakcina-vektor",1601115600
3,"В Минобороны Украины назвали возможную причину крушения Ан-26

➡Подробнее: https://russian.rt.com/ussr/article/786984-samolyot-harkov-katastrofa",1601115180
8,"Учёные назвали снижающий смертность от коронавируса фактор 
 
➡Читать далее: https://russian.rt.com/science/news/786974-faktor-koronavirus-smertnost",1601114760
9,"300 лет тюрьмы каждому 
 
➡Подробнее: https://ru.rt.com/gutu",1601114340
5,"Официальная информация от оперштаба по ситуации с коронавирусом в России

➡Подробнее: https://russian.rt.com/russia/news/786996-rossiya-sutki-koronavirus",1601113920
9,"«Мы наблюдаем рост»: Попова оценила динамику выявленных случаев коронавируса

➡Подробнее: https://russian.rt.com/russia/news/787025-dinamika-vyyavlennyh-sluchaev",1601113560
7,"«Это проблема, которую Россия как ядерная держава должна решить в срочном порядке» 
 
➡Подробнее: https://russian.rt.com/world/news/786626-gorbachyov-tramp-yadernaya-politika",1601113328
7,"«На эти цели в федеральном бюджете уже зарезервирован 1 млрд рублей»

➡Подробнее: https://russian.rt.com/russia/news/787019-kabmin-vydelenie-subsidii",1601112730
11,"В ВОЗ сделали заявление насчёт карантинных мер из-за COVID-19 в России 
 
➡Читать далее: https://russian.rt.com/russia/news/786817-voz-rossiya-koronavirus-prognoz",1601112185
14,"Разработчик «Новичка» прокомментировал кому Навального 
 
➡Читать далее: https://russian.rt.com/russia/news/786965-koma-navalnyi-novichok",1601111663
9,"Зеленский принял решение насчёт ситуации с крушением Ан-26 на Украине

➡Подробнее: https://russian.rt.com/ussr/news/787022-zelenskii-traur-ukraina",1601111220
8,"Шокирующие новости об одном из выживших при крушении Ан-26 под Харьковом

➡Подробнее: https://russian.rt.com/ussr/news/787016-zhertvy-an-26-harkov",1601110813
1,"Важные новости для жителей Подмосковья на фоне ситуации с коронавирусом

➡Подробнее: https://russian.rt.com/russia/news/787009-podmoskove-samoizolyaciya-rekomendaciya",1601110200
12,"Что происходит на месте крушения Ан-26 под Харьковом

➡Подробнее: https://russian.rt.com/ussr/news/787007-krushenie-an-26-harkovskaya-oblast",1601109600
19,"«Крепость для защиты России»

➡Подробнее: https://russian.rt.com/science/article/785454-tulskii-kreml-500-let",1601109002
11,"«Ирландские парни полны дерьма»

➡Подробнее: https://russian.rt.com/sport/news/787005-menedzher-nurmagomedov-reakciya-boi-makgregor-pakyao",1601108400
13,"Министр обороны Украины назвал возможную причину крушения Ан-26

➡Подробнее: https://russian.rt.com/ussr/news/787012-ukraina-krushenie-an-26",1601107800
6,"Анастасия Ракова раскрыла данные по ситуации с коронавирусом в Москве

➡Подробнее: https://russian.rt.com/russia/news/786994-moskva-koronavirus-vylechilis",1601107209
8,"Во ФСИН рассказали новые подробности смерти Тесака в СИЗО 
 
➡Подробнее: https://russian.rt.com/russia/news/786630-tesak-fizsila-fsin",1601106600
24,"Герасимов высказался насчёт открытости российских учений

➡Подробнее: https://russian.rt.com/russia/news/787002-gerasimov-otkrytost-ucheniya",1601106000
5,"Последние данные по ситуации с коронавирусом в России

➡Подробнее: https://russian.rt.com/russia/news/787001-testy-koronavirus-rossiya",1601105403
12,"Стали известны амбициозные планы Макгрегора

➡Подробнее: https://russian.rt.com/sport/news/787003-makgregor-vozvraschenie-ufc-pakyao",1601104800
9,"На Украине раскрыли новые детали по ситуации о крушении Ан-26

➡Подробнее: https://russian.rt.com/ussr/news/786997-harkov-krushenie-an-26",1601104201
20,"В России с 1 октября изменится порядок получения пенсий на карту

➡Подробнее: https://russian.rt.com/russia/news/786990-rossiya-pensii-karta",1601103613
11,"Сергей Собянин сделал заявление на фоне ситуации с коронавирусом в Москве

➡Подробнее: https://russian.rt.com/russia/news/786992-moskva-socpodderzhka-koronavirus",1601103000
7,"В одной из стран число случаев коронавируса достигло 54 660

➡Подробнее: https://russian.rt.com/ussr/news/786981-uzbekistan-chislo-koronavirus",1601102400
12,"СМИ сообщили последние данные по ситуации на месте крушения Ан-26 под Харьковом 

➡Подробнее: https://russian.rt.com/ussr/news/786988-harkov-an-26-krushenie",1601101802
26,"Герасимов прокомментировал полёты самолётов НАТО у границ России

➡Подробнее: https://russian.rt.com/russia/news/786985-polyoty-samolyotov-grancia",1601101200
2,"Названо число выявленных случаев коронавируса в Германии

➡Подробнее: https://russian.rt.com/world/news/786982-germaniya-chislo-koronavirus",1601100900
