likes,body,time
692,"Жители Хабаровска в 78-й раз вышли на акцию в поддержку бывшего губернатора Сергея Фургала. Тем временем исполняющий обязанности губернатора Михаил Дегтярев потребовал «навести порядок» на дорогах Хабаровска, которые протестующие занимают во время акций. «Два месяца мы наблюдаем помехи участникам дорожного движения, перекрытие дорог и сигналы водителей. Это все грубейшие нарушения», — возмутился Дегтярев.",1601101538
125,Доступ туристов на саму гору закрыли в октябре 2019 года — но в Google Street View по-прежнему оставалась возможность соврешить виртуальную экскурсию,1601076957
64,"По мнению экспертов, «в учении Виссариона допускается признание отклоняющегося поведения, в частности, суицида и неоказания медицинской помощи, стимулирование зависимого поведения, нарушение сексуального поведения, пренебрежение принятыми нормами брака»",1601073357
85,"По предварительным данным, у самолета отказал один из двигателей",1601069757
87,"Накануне биржа получила от Роскомнадзора уведомление о том, что на сайте Binance есть информация, запрещенная к распространению в России.",1601066157
146,"Кинокритик Антон Долин рассказывает, как фильм о семье, которая переезжает из США в Великобританию, сначала притворяется чуть ли не готическим романом, а на самом деле оказывается социальной сатирой об отношениях внутри семьи",1601062557
76,"По предварительным данным, на борту были курсанты",1601058957
411,"Благотворительная организация PDSA, вручающая ежегодные награды животным, отличившимся храбростью в военных условиях, наградила африканскую сумчатую крысу по имени Магава за участие в разминировании территории Камбоджи. До сих пор такие награды получали только собаки ",1601058884
180,"Действия Германии были очень уж «отлаженными», полагает российский МИД",1601057084
601,Не обошлось без помощи кукловодов 🥁,1601055284
139,"«Белорусские киберпартизаны» — группа хакеров, которые взламывают сайты госорганов и деанонимизируют силовиков в Беларуси. Кто они такие? И почему это не просто странный казус, а важный политический феномен?
В подкасте «Что случилось» — представитель «Белорусских киберпартизан», политолог Павел Усов и IT-эксперт Борис Горячев.",1601053484
80,🦀📉,1601051684
140,"ВК запрещен в стране с 2017 года, но люди продолжают пользоваться соцсетью",1601049884
132,Ждем фит с Моргенштерном,1601048084
155,"Убежище должно было превратиться в самоуправляемую коммуну, члены которой сами могут предотвратить насилие. Но через 10 дней его пришлось закрыть: его обитатели начали открыто принимать наркотики и торговать секс-услугами",1601046284
24,"Во втором выпуске нашего ютьюб-шоу #скажигордеевой — откровенный разговор с Наталией Мещаниновой — одной из самых ярких фигур в современном российском кино, автором сценария «Аритмии» и сериала «Шторм», режиссером «Сердца мира» и сериала «Обычная женщина». 

Катерина Гордеева поговорила с ней об опыте сексуального насилия в детстве, воспитании дочери и съемках мужа в эротических сценах. А также об отличии документального кино от художественного, доходах, новой этике, аполитичности и Никите Михалкове.

https://youtu.be/YwDutgE5-cY",1601044781
266,В такие моменты больше всего хочется вернуться в 2007-ой,1601044484
46,"Рассказ Алексея Сальникова «Бесполезное» наряду с текстами других известных авторов вошел в сборник рассказов «Дом». Все средства от продажи этой книги пойдут в фонд «Ночлежка», помогающий бездомным",1601044335
97,"Как говорится в официальном письме, Ким Чен Ын очень сожалеет, что сильно разочаровал президента и других граждан Южной Кореи в связи с неприятным инцидентом, вместо того, чтобы помогать им в преодолении последствий пандемии.",1601042534
112,"Сегодня 100 лет со дня рождения режиссера Сергея Бондарчука. В следующем году выйдет документальный фильм «Battle» о том, как Бондарчук снимал «Войну и мир». Представляем трейлер фильма",1601040854
97,"Пройдите тест и узнайте, кто вы из интервьюеров!

Кстати, теперь ютьюб-шоу есть и у «Медузы» — его ведет журналистка Катерина Гордеева.",1601038935
209,"«Его высказывания не совместимы с пребыванием на этой должности», — сказал мэр Ялты Иван Имгрунт о своем заместителе Михаиле Загорцеве. ",1601037135
101,"Знаете, как правильно стирать полотенца? А белье человека, который болеет чем-то заразным (например, гриппом)?

Собрали самое основное на одной картинке.",1601035334
156,"В мирное время дрон прячется в специальной док-станции. Но стоит кому-то проникнуть в дом в отсутствие хозяина, как устройство тут же вылетит из гнезда, уведомит об инциденте владельца и полетит встречать незваного гостя",1601033664
41,"У группы «Мегаполис» вышел новый альбом «Ноябрь». На пластинке звучат стихи 11 поэтов: в частности, Осипа Мандельштама и Жака Превера. Мы поговорили о новом альбоме с лидером группы Олегом Нестеровым и режиссером-документалистом Ромой Либеровым (именно он выбирал тексты для песен)",1601032464
52,"Пользователи Telegram из европейской части России, а также из Беларуси и Украины пожаловались на сбои в работе мессенджера. Проблемы есть также у пользователей из Германии, Франции, Нидерландов и Латвии",1601031564
94,"У бывшего здания редакции французского сатирического журнала Charlie Hebdo в Париже ранили по меньшей мере четырех человек. Двое пострадавших в тяжелом состоянии. Сообщается, что людей ранили ножом.",1601030784
